20MICRONS,"http://www.moneycontrol.com/india/stockpricequote/miningminerals/20microns/2M
3IINFOTECH,"http://www.moneycontrol.com/india/stockpricequote/computerssoftware/3iinfotech/I11
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ishitadrugsindustries/IDI02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jagsonpalpharmaceuticals/JP02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/janakintermediates/JI03
ACE,"http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/janpriyacement/JCL01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jayantvitamins/JV
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jenburktpharma/JP08
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jilchemlaboratoriesindia/JLI
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jkpharmachem/JKP
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jubilantlifesciences/JO03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jupiterbioscience/JB02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kabradrugs/KD
ACE,"http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06
ACE,"http://www.moneycontrol.com/india/stockpricequote/cementmini/kakatiyacements/KC01
ACE,"http://www.moneycontrol.com/india/stockpricequote/cementmini/kalingacement/KC02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kamronlaboratories/KL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kappacpharma/KP03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kaprinaspharmaceuticalschemicals/KPC
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kdlbiotech/KDL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/keralaayurveda/KA01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kilitchdrugsindia/KDI
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kimiabiosciences/LO
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/konarorganics/KO
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kopran/K01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/krebsbiochemicalsindustries/KBI
